date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:02	92852/92852	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2018:47:02%20GMT	https://www.mulhernamoda.online/beautyderm	C:/Users/Jorge/Downloads/sites/pppppppppppp/www.mulhernamoda.online/beautyderm.html	(from )
15:47:02	23/23	---M--	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2018:47:03%20GMT	https://www.mulhernamoda.online/robots.txt		(from )
15:47:03	168/168	---MCZ	200	added ('OK')	text/css	etag:W/%229d01360ad28d3f944a87f4852ff29e93%22	https://styles.assets-landingi.com/Skp9arZL/Segoe_UI.css	C:/Users/Jorge/Downloads/sites/pppppppppppp/styles.assets-landingi.com/Skp9arZL/Segoe_UI.css	(from https://www.mulhernamoda.online/beautyderm)
15:47:04	16411/16411	---M--	200	added ('OK')	image/png	etag:%2264ad9c68fba12d42d830d01a09991176%22	https://s3-eu-west-1.amazonaws.com/landingi-editor-uploads/jJJTmb2k/B_branco.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/s3-eu-west-1.amazonaws.com/landingi-editor-uploads/jJJTmb2k/B_branco.png	(from https://www.mulhernamoda.online/beautyderm)
15:47:04	78019/78019	---MCZ	200	added ('OK')	text/css	etag:W/%2290e6631681f135e2b0844a1beeabb028%22	https://styles.assets-landingi.com/assets/css/2.13-landend-base.css	C:/Users/Jorge/Downloads/sites/pppppppppppp/styles.assets-landingi.com/assets/css/2.13-landend-base.css	(from https://www.mulhernamoda.online/beautyderm)
15:47:04	327862/327862	---MCZ	200	added ('OK')	text/css	etag:W/%2214ee23b807e1ac176215d8a0147e3cf1%22	https://styles.assets-landingi.com/pu43ieT8/base.css	C:/Users/Jorge/Downloads/sites/pppppppppppp/styles.assets-landingi.com/pu43ieT8/base.css	(from https://www.mulhernamoda.online/beautyderm)
15:47:04	19480/19480	---MCZ	200	added ('OK')	application/javascript	etag:W/%223625888cf3a7b02e171a91fab5e6c9bf%22	https://scripts.assets-landingi.com/lightboxes/lightbox-render.js?v=1619894821	C:/Users/Jorge/Downloads/sites/pppppppppppp/scripts.assets-landingi.com/lightboxes/lightbox-render186e.js	(from https://www.mulhernamoda.online/beautyderm)
15:47:05	1327/1327	---M--	200	added ('OK')	image/png	etag:%2260f974d315d2048d9ea02a0ce2d52e09%22	https://images.assets-landingi.com/m8GIYBMiXO8YjdVT/B_branco.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/images.assets-landingi.com/m8GIYBMiXO8YjdVT/B_branco.png	(from https://www.mulhernamoda.online/beautyderm)
15:47:05	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20May%202021%2018:47:06%20GMT	http://hub.sale/public/js/analytics.js	C:/Users/Jorge/Downloads/sites/pppppppppppp/hub.sale/public/js/analytics.7.delayed	(from https://www.mulhernamoda.online/beautyderm)
15:47:05	9116/9116	---M--	200	added ('OK')	application/javascript	etag:%225f8cf529-239c%22	https://hub.sale:443/public/js/analytics.js	C:/Users/Jorge/Downloads/sites/pppppppppppp/hub.sale_443/public/js/analytics.js	(from https://www.mulhernamoda.online/beautyderm)
15:47:06	3693/3693	---M--	200	added ('OK')	image/png	etag:%22d3139802580ea00f298f563167b496cc%22	https://images.assets-landingi.com/K562wVfjTwxV5lbg/LOGO_VERISOL.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/images.assets-landingi.com/K562wVfjTwxV5lbg/LOGO_VERISOL.png	(from https://www.mulhernamoda.online/beautyderm)
15:47:06	2413/2413	---M--	200	added ('OK')	image/png	etag:%22177b31976ec083371b83497deaa588a5%22	https://images.assets-landingi.com/UV0xzsxa1avaKt0c/Anvisa.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/images.assets-landingi.com/UV0xzsxa1avaKt0c/Anvisa.png	(from https://www.mulhernamoda.online/beautyderm)
15:47:06	5522/5522	---M--	200	added ('OK')	image/png	etag:%22bb249f0ae4272a9839bfde39dea6f2b3%22	https://images.assets-landingi.com/LNFivurxyQ9VCEWI/Logo.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/images.assets-landingi.com/LNFivurxyQ9VCEWI/Logo.png	(from https://www.mulhernamoda.online/beautyderm)
15:47:06	204482/204482	---M--	200	added ('OK')	binary/octet-stream	etag:%22cee6d958d56baf260627784664e9d7e0%22	https://images.assets-landingi.com/V5VIR7Wv/Screenshot_2021_03_10T180339.833.png	C:/Users/Jorge/Downloads/sites/pppppppppppp/images.assets-landingi.com/V5VIR7Wv/Screenshot_2021_03_10T180339.833.png	(from https://www.mulhernamoda.online/beautyderm)
